0 SpO2 Coeff  0 0 0 0  FFD7FBDD  0AB61FE
Ver: 0 32 9 23
rd algo size: 0 20 
rd algo size: 0 52 
rd algo size: 4 0 
sens+algo 
1.2 Status: 0
1.5 Status: 0
1.6 Status: 0
1.7 Status: 0
1.8 Status: 0
map leds to slots 0
map SpO2 to slots/PDs 0
1.14 status: 0
1.31 part id afe 0 36
1.32 who accel 0 1b
ppg1,ppg2,ppg3,ppg4,x,y,z,hr,hr_conf,spo2,spo2_conf,spo2_lo,spo2_unrel,scd,
429066,440427,2347,0,13,7,1007,648,100,0,0,0,0,3,
429049,440390,2345,0,12,5,1008,648,100,0,0,0,0,3,
428665,440200,2341,0,11,5,1007,648,100,0,0,0,0,3,
427371,439605,2320,0,13,6,1005,648,100,0,0,0,0,3,
426433,439175,2306,0,11,5,1003,648,100,0,0,0,0,3,
426066,439042,2300,0,12,6,1008,648,100,0,0,0,0,3,
425963,439008,2294,0,12,6,1007,648,100,0,0,0,0,3,
425924,439011,2291,0,13,6,1004,647,100,0,0,0,0,3,
425901,438993,2292,0,13,6,1004,647,100,0,0,0,0,3,
426095,439059,2297,0,11,7,1008,647,100,0,0,0,0,3,
426339,439160,2303,0,11,6,1007,647,100,0,0,0,0,3,
426425,439188,2304,0,11,6,1005,647,100,0,0,0,0,3,
426377,439156,2304,0,12,5,1005,646,100,0,0,0,0,3,
426388,439153,2309,0,12,7,1009,646,100,0,0,0,0,3,
426558,439228,2313,0,11,6,1008,646,100,0,0,0,0,3,
426872,439366,2318,0,12,6,1005,646,100,0,0,0,0,3,
427124,439490,2322,0,12,6,1005,646,100,0,0,0,0,3,
427418,439604,2325,0,11,6,1007,645,100,0,0,0,0,3,
427551,439660,2331,0,12,7,1007,645,100,0,0,0,0,3,
427757,439741,2336,0,11,7,1006,645,100,0,0,0,0,3,
427955,439829,2340,0,12,6,1007,645,100,997,24,0,0,3,
428168,439924,2344,0,10,6,1006,645,100,997,24,0,0,3,
428304,439958,2345,0,10,6,1005,645,100,997,24,0,0,3,
428390,439999,2347,0,12,6,1005,645,100,997,24,0,0,3,
428628,440106,2351,0,12,6,1006,644,100,997,24,0,0,3,
428748,440139,2356,0,11,7,1005,644,100,997,24,0,0,3,
428482,440010,2355,0,12,6,1006,644,100,997,24,0,0,3,
427202,439392,2336,0,12,6,1005,644,100,997,24,0,0,3,
426067,438880,2316,0,11,8,1010,717,100,997,24,0,0,3,
425469,438594,2312,0,9,8,1005,717,100,997,24,0,0,3,
425204,438485,2308,0,12,8,1005,717,100,997,24,0,0,3,
